,Station1,Station1_Lat,Station1_Lon,Station2,Station2_Lat,Station2_Lon,velocity_period_1,velocity_period_2,velocity_period_3,velocity_period_4,velocity_period_5,velocity_period_6,velocity_period_7,velocity_period_8,velocity_period_9,velocity_period_10,velocity_period_11,velocity_period_12,velocity_period_13,velocity_period_14,velocity_period_15
54,CC.VALT,46.214218,-122.189247,UW.TOLE,46.452694,-122.845399,,,,,2.994637940140845,,,,,,,,,,
55,TA.D04E,47.1786,-122.7715,UW.WPW,46.698639,-121.537338,,,,,2.406985907255257,,,,,,,,,,
56,UW.COWS,47.6656,-121.93075,UW.MOX,46.577004,-120.299609,,,,,,,,,,,,,,,
57,XD.MH03,46.268421,-122.594116,XD.MJ03,46.1591,-122.564957,,,,,,,,,,,,,,,
58,CC.VOIT,46.96636,-121.98328,UW.GSM,47.20388,-121.796043,,,,,,,,,,,,,,,
59,XD.MH09,46.297668,-121.801033,XD.MJ07,46.17878,-122.055779,,,,,2.279524025385313,,,,,,,,,,
60,CC.PARA,46.786441,-121.742195,CC.STYX,46.963747,-122.080535,,,,,,,,,,,,,,,
61,XU.S080,47.004002,-121.988098,XU.S090,46.989601,-121.5355,,,,,2.0085045454545454,,,,,,,,,,
62,XU.N085,47.068699,-122.383598,YW.FACC,47.400902,-122.579498,,,,,2.100971676300578,,,,,,,,,,
63,XU.BD11,47.305199,-121.965698,YW.FACD,46.6619,-122.852097,,,,,,,,,,,,,,,
64,UW.TOLT,47.6947,-121.6895,XD.MI08,46.253849,-121.97448,,,,,,,,,,,,,,,
65,UW.ELL,46.909512,-120.567513,UW.TBM,47.16985,-120.59918,,,,,,,,,,,,,,,
66,CC.CRBN,46.988155,-121.961026,CC.KAUT,46.730263,-121.857381,,,,,,,,,,,,,,,
67,XD.MD12,46.47694,-121.220673,XD.MJ09,46.184181,-121.92144,,,,,3.395798954339491,,,,,,,,,,
68,UW.LON,46.750599,-121.809601,XU.S100,46.980099,-121.108398,,,,,2.2357541950113378,,,,,,,,,,
69,UW.LTY,47.25451,-120.66636,XU.E030,47.4473,-121.7798,,,,,2.874319564250778,,,,,,,,,,
70,CC.GNOB,46.79414,-121.91438,CC.PR02,46.918303,-122.048695,,,,,,,,,,,,,,,
71,UW.TOLT,47.6947,-121.6895,YH.MF12,46.365799,-122.2202,,,,,,,,,,,,,,,
72,XD.MJ03,46.1591,-122.564957,XD.MK07,46.152699,-122.116768,,,,,,,,,,,,,,,
73,XU.N080,47.164501,-122.551697,XU.S070,46.980499,-122.243896,,,,,,,,,,,,,,,
74,UW.SHW,46.19364,-122.23492,XD.MI07,46.24823,-122.07328,,,,,,,,,,,,,,,
75,CC.WOW,46.78003,-121.8851,UW.FL2,46.19622,-122.351486,,,,,,,,,,,,,,,
76,XU.E060,46.626499,-121.264503,XU.S060,46.9967,-122.518402,,,,,,,,,,,,,,,
77,CC.STD,46.23749,-122.22421,XD.ME02,46.439159,-122.707336,,,,,1.9734263201320132,,,,,,,,,,
78,CC.PANH,46.859032,-121.642592,XD.MD09,46.50288,-121.706711,,,,,,,,,,,,,,,
79,CC.VALT,46.214218,-122.189247,UW.ASR,46.15259,-121.60164,,,,,,,,,,,,,,,
80,CC.OBSR,46.899719,-121.815331,UW.KNGST,47.80272,-122.51469,,,,,2.87031027486911,,,,,,,,,,
81,UW.TDL,46.35067,-122.21704,XD.ME08,46.461948,-121.865639,,,,,,,,,,,,,,,
82,TA.E05A,46.560501,-121.760803,XU.BD11,47.305199,-121.965698,,,,,,,,,,,,,,,
83,UW.LON,46.750599,-121.809601,YW.FACF,46.3316,-122.776199,,,,,2.750048989298454,,,,,,,,,,
84,XU.S060,46.9967,-122.518402,XU.S090,46.989601,-121.5355,,,,,,,,,,,,,,,
85,CC.SWF2,46.178349,-122.216766,YH.MF00,46.348202,-122.241699,,,,,,,,,,,,,,,
86,CC.MAR,46.28532,-122.29667,CC.REM,46.2002,-122.1855,,,,,,,,,,,,,,,
87,UW.FL2,46.19622,-122.351486,XD.MF05,46.390369,-122.386757,,,,,,,,,,,,,,,
88,CC.TABR,46.80435,-121.84948,UW.TBLMT,47.1731,-120.59827,,,,,2.1998474768713203,,,,,,,,,,
89,XU.E070,46.509201,-122.453903,XU.N100,47.290901,-121.788101,,,,,1.694622216772928,,,,,,,,,,
90,XD.MB07,46.623779,-122.042389,XD.ME04,46.450611,-122.351936,,,,,2.9193976439790577,,,,,,,,,,
91,UW.MEW,47.20184,-122.6473,XU.BD11,47.305199,-121.965698,,,,,,,,,,,,,,,
92,UW.LCW,46.67049,-122.702011,XD.MF09,46.389938,-121.861,,,,,,,,,,,,,,,
93,UW.EDM,46.19717,-122.15121,YH.MF64,46.329498,-122.295197,,,,,,,,,,,,,,,
94,CC.STD,46.23749,-122.22421,UW.PUPY,46.49542,-122.14613,,,,,,,,,,,,,,,
95,CC.TABR,46.80435,-121.84948,UW.LOKMT,47.14963,-120.7894,,,,,,,,,,,,,,,
96,XD.MG06,46.35014,-122.217453,XD.MH07,46.279812,-122.082024,,,,,,,,,,,,,,,
97,UW.TBM,47.16985,-120.59918,XU.N120,47.216499,-121.481903,,,,,1.6575036269430052,,,,,,,,,,
98,CC.PR04,46.929773,-121.988592,UW.HTW,47.80377,-121.76887,,,,,,,,,,,,,,,
99,XD.ME02,46.439159,-122.707336,XD.MI08,46.253849,-121.97448,,,,,1.8785539746365605,,,,,,,,,,
